CNPJ;Razão Social;Nome Fantasia;Natureza Jurídica;Capital Social;Data de Abertura;Idade da Empresa;Cidade;Estado;CEP;Porte;Atividade Principal;Flag_CNEP;Flag_CEIS
105923940001-78;BLUE - SOLUCOES INTELIGENTES LTDA;Blue;Sociedade Empresária Limitada;4000000;22/01/2009;160;Brasília;DF;700400200;Demais;Desenvolvimento de programas de computador sob encomenda;0;0
107735010001-64;OSIRNET INFO TELECOM LTDA;Osirnet;Sociedade Empresária Limitada;13000000;01/04/2009;160;Pelotas;RS;960101500;Demais;Provedores de acesso às redes de comunicações;0;0
110383680001-65;DISRUPTEC BRASIL LTDA;Disruptec;Sociedade Empresária Limitada;5000000;07/08/2009;160;Brasília;DF;706104100;Demais;Suporte técnico, manutenção e outros serviços em tecnologia da informação;0;0
111681990003-40;HITSS DO BRASIL SERVICOS TECNOLOGICOS LTDA.;Hitss do Brasil Servicos Tecnologicos Ltda;Sociedade Empresária Limitada;248113360;21/09/2015;100;Brasília;DF;703050000;Demais;Consultoria em tecnologia da informação;0;0
115088250001-38;RJR SERVICOS DE INFORMATICA LTDA;Rw3 Tecnologia;Sociedade Empresária Limitada;19800000;13/01/2010;150;Barueri;SP;64730730;Demais;Desenvolvimento e licenciamento de programas de computador não-customizáveis;0;0
119051030001-17;LIGHTBASE SERVICOS E CONSULTORIA EM SOFTWARE PUBLICO LTDA;Br Light - Brasilia;Sociedade Empresária Limitada;2400000;06/05/2010;150;Brasília;DF;707119030;Empresa de Pequeno Porte;Desenvolvimento de programas de computador sob encomenda;0;0
119846090001-69;U.M. SOLUCOES EM IMPRESSAO LTDA.;Technocopy Solucoes em Impressao;Sociedade Empresária Limitada;1050000;18/05/2010;150;Itabuna;BA;456032300;Microempresa;Aluguel de máquinas e equipamentos para escritórios;0;0
120456330001-03;E-MEX TELECOMUNICACOES DO BRASIL LTDA;Emex Internet;Sociedade Empresária Limitada;600000;07/06/2010;150;Angra dos Reis;RJ;239070000;Microempresa;Provedores de acesso às redes de comunicações;0;0
120761160001-93;M J L COSTA SERVICOS;Fox Net;Empresário (Individual);200000;11/06/2010;150;Macapá;AP;689063010;Microempresa;Fotocópias;0;0
121300130003-26;GLOBALWEB OUTSOURCING DO BRASIL S.A.;Global Web Outsourcing do Brasil;Sociedade Anônima Fechada;295108220;13/06/2018;70;Brasília;DF;707159000;Demais;Desenvolvimento e licenciamento de programas de computador não-customizáveis;0;0
126256570001-23;BK TECNOLOGIA DA INFORMACAO LTDA;Bktech;Sociedade Empresária Limitada;1000000;24/09/2010;150;Brasília;DF;706104100;Demais;Desenvolvimento e licenciamento de programas de computador não-customizáveis;0;0
136619680001-00;IMPACT BRASIL COMERCIO E SERVICOS DE PRODUTOS DE INFORMATICA LTDA;Impact Computers do Brasil;Sociedade Empresária Limitada;2000000;13/04/2011;140;Paulínia;SP;131403300;Demais;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
143525770001-77;INFOART INFORMATICA LTDA;Infoart Informatica;Sociedade Empresária Limitada;1000000;08/08/2011;140;Teresina;PI;640491100;Microempresa;Aluguel de máquinas e equipamentos para escritórios;0;0
146302510001-64;INTERCONTROLE SERVICOS ADMINISTRATIVOS EMPRESARIAIS LTDA;;Sociedade Empresária Limitada;900000;09/11/2011;140;São Paulo;SP;10450000;Empresa de Pequeno Porte;Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;0;0
150252230001-80;CATTEDRA SOLUCOES EM TI LTDA;;Sociedade Simples Limitada;1100000;07/02/2012;130;Rio de Janeiro;RJ;200310100;Microempresa;Outras atividades de prestação de serviços de informação não especificadas anteriormente;0;0
150729050001-44;GR7 TECNOLOGIA LTDA;Gr7 Solucoes em Tecnologia;Sociedade Empresária Limitada;30000000;17/02/2012;130;Manaus;AM;690570600;Microempresa;Reparação e manutenção de computadores e de equipamentos periféricos;0;0
170044340001-62;LOUPEN TECNOLOGIA DA INFORMACAO LTDA;;Sociedade Empresária Limitada;680000;09/10/2012;130;Cascavel;PR;858050200;Empresa de Pequeno Porte;Desenvolvimento e licenciamento de programas de computador não-customizáveis;0;0
172154370001-45;NEP SOLUCOES E INFORMATICA - COMERCIO E SERVICOS LTDA;Nep Solucoes;Sociedade Empresária Limitada;2000000;27/11/2012;130;Três Rios;RJ;258030100;Empresa de Pequeno Porte;Comércio varejista especializado de equipamentos e suprimentos de informática;0;1
184941930001-40;MULTITECNOLOGIA SERVICOS DE INFORMATICA LTDA;Multiplus;Sociedade Empresária Limitada;1000000;16/07/2013;120;Rio de Janeiro;RJ;209411200;Microempresa;Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas;0;0
187998970001-20;DIGISEC CERTIFICACAO DIGITAL LTDA;Digisec - Certificacao Digital;Sociedade Empresária Limitada;900000;02/09/2013;120;Goiânia;GO;744250980;Demais;Suporte técnico, manutenção e outros serviços em tecnologia da informação;0;0
194522400001-55;NETWARE TELECOMUNICACOES E INFORMATICA LTDA;;Sociedade Empresária Limitada;1500000;27/12/2013;120;Campinas;SP;130633100;Microempresa;Provedores de acesso às redes de comunicações;0;0
195859410001-62;SATURNO PAR LTDA;Saturno;Sociedade Empresária Limitada;2000000;24/01/2014;110;Ataléia;MG;398500000;Empresa de Pequeno Porte;"Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças";0;0
198772850002-52;LANLINK SOLUCOES E COMERCIALIZACAO EM INFORMATICA S/A;;Sociedade Anônima Fechada;1153834932;07/07/2015;100;Brasília;DF;707029060;Demais;Consultoria em tecnologia da informação;0;0
203247480001-57;VLP NOBREAKS E ESTABILIZADORES LTDA;;Sociedade Empresária Limitada;1000000;23/05/2014;110;Caxias do Sul;RS;950343300;Empresa de Pequeno Porte;Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios;0;0
